id,movie,type
282,蓝白红三部曲之蓝,0
283,黑暗中的舞者,0
284,爱再来一次,0
285,闻香识女人,0
286,办公室的故事,0
287,蜡笔小新,0
288,十月的天空,0
289,恐怖游轮,0
290,拯救大兵瑞恩,0
291,海边的曼彻斯特,0
292,美国丽人,0
293,美食总动员,0
294,八美图,0
295,低俗小说,0
296,断背山,0
297,模仿游戏,0
298,弗兰兹,0
299,廊桥遗梦,0
300,青少年哪吒,0
301,巴黎淘气帮,0
302,英国病人,0
303,小丑回魂,0
304,人鬼情未了,0
305,龙虾,0
306,万能钥匙,0
307,狮子王,0
308,荒蛮故事,0
309,刺猬的优雅,0
310,一一,0
311,遇见你之前,0
312,夜行者,0
313,星际穿越,0
314,心之全蚀,0
315,了不起的盖茨比,0
316,爱乐之城,0
317,好家伙,0
318,消失的爱人,0
319,微不足道,0
320,阳光小美女,0
321,时空恋旅人,0
322,艺术家,0
323,神秘肌肤,0
324,末代皇帝,0
325,卡罗尔,0
326,马语者,0
327,游客,0
328,给朱丽叶的信,0
329,嘉年华,0
330,与狼共舞,0
331,对她说,0
332,如果·爱,0
333,邦尼和琼,0
334,银翼杀手,0
335,午夜巴黎,0
336,单身男子,0
337,狂人皮埃罗,0
338,控方证人,0
339,银河系漫游指南,0
340,太阳照常升起,0
341,天使爱美丽,0
342,内布拉斯加,0
343,空房间,0
344,苏菲的抉择,0
345,杯酒人生,0
346,东京物语,0
347,金陵十三钗,0
348,安妮·霍尔,0
349,斯图尔特：倒带人生,0
350,神探夏洛克 第一季,0
351,狩猎,0
352,头号玩家,0
353,迷失东京,0
354,海上钢琴师,0
355,契克,0
356,路边野餐,0
357,小森林 冬春篇,0
358,真爱至上,0
359,生活多美好,0
360,三傻大闹宝莱坞,0
361,暖暖内含光,0
362,火车进站,0
363,潜行者,0
364,爱在午夜降临前,0
365,功夫熊猫,0
366,52倍人生·戴锦华大师电影课,0
