"title","star","url","cover","info","oneSentenceComment"
"机器人总动员 / WALL·E","9.3","https://movie.douban.com/subject/2131459/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg","导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...\n                            2008 / 美国 / 爱情 科幻 动画 冒险","小瓦力，大人生。"
"三傻大闹宝莱坞 / 3 Idiots","9.2","https://movie.douban.com/subject/3793023/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg","导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...\n                            2009 / 印度 / 剧情 喜剧 爱情 歌舞","英俊版憨豆，高情商版谢耳朵。"
"海上钢琴师 / La leggenda del pianista sull'oceano","9.2","https://movie.douban.com/subject/1292001/","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511146807.jpg","导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...\n                            1998 / 意大利 / 剧情 音乐","每个人都要走一条自己坚定了的路，就算是粉身碎骨。"
"放牛班的春天 / Les choristes","9.3","https://movie.douban.com/subject/1291549/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg","导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 热拉尔·朱尼奥 Gé...\n                            2004 / 法国 瑞士 德国 / 剧情 音乐","天籁一般的童声，是最接近上帝的存在。"
"楚门的世界 / The Truman Show","9.2","https://movie.douban.com/subject/1292064/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg","导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...\n                            1998 / 美国 / 剧情 科幻","如果再也不能见到你，祝你早安，午安，晚安。"
"大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣","9.2","https://movie.douban.com/subject/1292213/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg","导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...\n                            1995 / 香港 中国大陆 / 喜剧 爱情 奇幻 古装","一生所爱。"
"星际穿越 / Interstellar","9.2","https://movie.douban.com/subject/1889243/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg","导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...\n                            2014 / 美国 英国 加拿大 冰岛 / 剧情 科幻 冒险","爱是一种力量，让我们超越时空感知它的存在。"
"龙猫 / となりのトトロ","9.2","https://movie.douban.com/subject/1291560/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg","导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...\n                            1988 / 日本 / 动画 奇幻 冒险","人人心中都有个龙猫，童年就永远不会消失。"
"教父 / The Godfather","9.2","https://movie.douban.com/subject/1291841/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1853232210.jpg","导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...\n                            1972 / 美国 / 剧情 犯罪","千万不要记恨你的对手，这样会让你失去理智。"
"熔炉 / 도가니","9.3","https://movie.douban.com/subject/5912992/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg","导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...\n                            2011 / 韩国 / 剧情","我们一路奋战不是为了改变世界，而是为了不让世界改变我们。"
"无间道 / 無間道","9.1","https://movie.douban.com/subject/1307914/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg","导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生\n                            2002 / 香港 / 剧情 犯罪 悬疑","香港电影史上永不过时的杰作。"
"疯狂动物城 / Zootopia","9.2","https://movie.douban.com/subject/25662329/","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg","导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...\n                            2016 / 美国 / 喜剧 动画 冒险","迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。"
"当幸福来敲门 / The Pursuit of Happyness","9.0","https://movie.douban.com/subject/1849031/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220721286.jpg","导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...\n                            2006 / 美国 / 剧情 传记 家庭","平民励志片。"
"怦然心动 / Flipped","9.0","https://movie.douban.com/subject/3319755/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p663036666.jpg","导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...\n                            2010 / 美国 / 剧情 喜剧 爱情","真正的幸福是来自内心深处。"
"触不可及 / Intouchables","9.2","https://movie.douban.com/subject/6786002/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg","导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...\n                            2011 / 法国 / 剧情 喜剧","满满温情的高雅喜剧。"
"乱世佳人 / Gone with the Wind","9.2","https://movie.douban.com/subject/1300267/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg","导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...\n                            1939 / 美国 / 剧情 历史 爱情 战争","Tomorrow is another day."
"蝙蝠侠：黑暗骑士 / The Dark Knight","9.1","https://movie.douban.com/subject/1851857/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg","导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...\n                            2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚","无尽的黑暗。"
"活着","9.2","https://movie.douban.com/subject/1292365/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg","导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang\n                            1994 / 中国大陆 香港 / 剧情 历史 家庭","张艺谋最好的电影。"
